recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration,class,egoTrackId,ego_xCenter,ego_yCenter,ego_xVelocity,ego_yVelocity,ego_lonVelocity,ego_latVelocity,ego_heading,ego_speed_mps,ego_speed_kph,rel_x_to_ego,rel_y_to_ego,rel_vx_to_ego,rel_vy_to_ego,rel_speed_to_ego,distance_to_ego,is_ego,event_id,is_primary_actor,event_peak_frame,event_start_frame,event_end_frame,pair_type,risk_score_peak,event_min_ttc,event_min_dcpa,event_min_distance,dist_threshold_used,ttc_threshold_used,dcpa_threshold_used,min_rel_speed_threshold_used,ego_speed_mps_peak,ego_speed_kph_peak
0,214,15956,112,123.5681,-63.5077,155.519,2.0762,4.9298,-5.7373,2.6507,-0.15,-0.6928,6.32,0.0349,-0.1506,-0.6927,car,215,86.448,-75.2232,6.7875,-0.7105,6.8245,-0.038,353.7056,6.824585445285303,24.56850760302709,37.12010000000001,11.715500000000006,-12.524799999999999,3.3612,12.96797133247911,38.92498894360794,0,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,215,15956,36,86.448,-75.2232,353.7056,2.1104,4.8524,6.7875,-0.7105,-2.3113,0.3648,6.8245,-0.038,-2.3374,-0.1092,car,215,86.448,-75.2232,6.7875,-0.7105,6.8245,-0.038,353.7056,6.824585445285303,24.56850760302709,0.0,0.0,0.0,0.0,0.0,0.0,1,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,214,15957,113,123.3385,-63.402,155.6721,2.0762,4.9298,-5.7434,2.6216,-0.1502,-0.7987,6.3134,0.0228,-0.1922,-0.7897,car,215,86.7168,-75.2515,6.6933,-0.6953,6.7293,-0.0355,353.7669,6.729316977227332,24.225541118018395,36.62169999999999,11.849499999999992,-12.4367,3.3169,12.871415326218013,38.49103221712818,0,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,215,15957,37,86.7168,-75.2515,353.7669,2.1104,4.8524,6.6933,-0.6953,-2.29,0.345,6.7293,-0.0355,-2.314,-0.0943,car,215,86.7168,-75.2515,6.6933,-0.6953,6.7293,-0.0355,353.7669,6.729316977227332,24.225541118018395,0.0,0.0,0.0,0.0,0.0,0.0,1,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,214,15958,114,123.1087,-63.2975,155.8694,2.0762,4.9298,-5.7494,2.5881,-0.1504,-0.9032,6.305,0.0115,-0.232,-0.8858,car,215,86.9816,-75.2792,6.6004,-0.6809,6.6354,-0.0327,353.8279,6.635428017091286,23.88754086152863,36.1271,11.981700000000004,-12.349799999999998,3.2689999999999997,12.775129002871163,38.06216611413491,0,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,215,15958,38,86.9816,-75.2792,353.8279,2.1104,4.8524,6.6004,-0.6809,-2.2673,0.3245,6.6354,-0.0327,-2.289,-0.0789,car,215,86.9816,-75.2792,6.6004,-0.6809,6.6354,-0.0327,353.8279,6.635428017091286,23.88754086152863,0.0,0.0,0.0,0.0,0.0,0.0,1,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,214,15959,115,122.8784,-63.1943,156.1039,2.0762,4.9298,-5.7553,2.5502,-0.1505,-1.006,6.295,0.0003,-0.2699,-0.9808,car,215,87.2431,-75.3062,6.5087,-0.6674,6.5428,-0.0269,353.9105,6.542828016232736,23.55418085843785,35.6353,12.111900000000006,-12.264,3.2176,12.679063284012742,37.63738470855806,0,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,215,15959,39,87.2431,-75.3062,353.9105,2.1104,4.8524,6.5087,-0.6674,-2.2433,0.3035,6.5428,-0.0269,-2.2629,-0.0638,car,215,87.2431,-75.3062,6.5087,-0.6674,6.5428,-0.0269,353.9105,6.542828016232736,23.55418085843785,0.0,0.0,0.0,0.0,0.0,0.0,1,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,214,15960,116,122.6479,-63.0926,156.3741,2.0762,4.9298,-5.7612,2.5081,-0.1508,-1.1071,6.2835,-0.011,-0.3055,-1.0747,car,215,87.5003,-75.333,6.4185,-0.6545,6.4518,-0.0195,354.0047,6.451783668102953,23.22642120517063,35.14760000000001,12.240400000000001,-12.1797,3.1626000000000003,12.583605637892504,37.218022219349606,0,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
0,215,15960,40,87.5003,-75.333,354.0047,2.1104,4.8524,6.4185,-0.6545,-2.2186,0.2818,6.4518,-0.0195,-2.2359,-0.0485,car,215,87.5003,-75.333,6.4185,-0.6545,6.4518,-0.0195,354.0047,6.451783668102953,23.22642120517063,0.0,0.0,0.0,0.0,0.0,0.0,1,00_214_215_16031_ego_215,1,16031,16029,16041,vehicle_vehicle,0.46393394141825073,1.8117178587371934,0.13622684639578714,11.834873573469222,15.0,3.0,3.5,0.8,1.0804172018252949,3.8895019265710618
